food item,Calories,Sodium(mg),Total Fat(g),Potassium(mg),Saturated(g),Total Carbs(g),Polyunsaturated(g),Dietary Fiber(g),Monounsaturated(g),Sugars(g),Trans(g),Protein(g),Cholesterol(mg)
Delhaize - Tiramisu,348,230,15,372,5,20,2,2,7,3,1,29,77
Oké / Ok? - Mini Frites,7446,4218,485,2508,131,712,208,39,109,484,1,92,1139
super c - porc haché ,1750,3335,122,1910,47,54,6,11,5,22,10,102,410
Rewe - Gulaschsuppe,2825,8305,197,1019,27,90,24,15,19,14,2,157,601
Davert - Naturreis,580,505,31,646,13,21,1,3,13,2,2,49,151
Davert - Paella,2587,5306,106,2859,40,187,3,63,47,29,7,202,541
Machland - Fitnesssalat,4447,22720,261,9140,84,304,8,69,40,145,4,340,2680
Alpro - Coconut Milk Original,5283,10793,246,5065,116,384,3,50,28,103,4,357,1125
Alpro Soya - Choco Drink,2952,4224,174,3139,78,94,5,4,61,33,6,248,1025
Alpro Soya - Latte Natural,390,440,22,319,9,26,5,2,10,2,1,15,40
Alpro Soya - Nature - Tofu,640,973,24,105,12,106,3,24,2,31,3,11,0
Einstein Brothers - Asiago Bagel,2245,1204,160,2933,62,62,2,24,10,16,1,168,510
Nestle - Fibre1,4097,8873,339,436,185,82,20,7,20,50,12,162,1627
Sodexo Healthcare - Sauteed Spinach,1771,5968,78,6135,33,129,3,41,34,77,5,143,393
Sodexo Healthcare - Okra & Tomatoes,1499,2577,51,1730,21,107,1,8,3,28,2,140,310
Morrisons - Raddish,312,292,21,213,3,10,5,2,3,6,8,24,70
Smithfield All Natural - Center Cut Pork Chops,494,1239,17,680,16,53,5,7,5,3,6,25,45
Cafe Rio - Mexican Rice,1341,596,115,150,20,43,12,3,84,21,5,12,23
emmi - milch,1451,4489,38,1487,11,149,1,41,9,74,1,123,249
Lidl - Mozzarella,2812,15182,52,4684,66,286,18,61,12,40,32,155,85
Corner Bakery - Club Panini on Sourdough,1625,2875,46,92,16,70,5,5,9,19,3,222,455
Stop & Shop - Butter - Unsalted,3180,1513,177,1495,96,339,18,15,42,260,2,60,185
Stop &  Shop - Mixed berries,1769,5352,132,2101,41,51,31,16,15,14,2,110,365
Stop & Shop - Pepperoni Pizza,1531,1116,76,3577,32,83,2,23,33,10,5,138,378
ESS GOV - Mushy Peas,3059,10910,109,7815,45,303,5,107,47,52,7,250,530
Signature Cafe - Bbq Beans,2981,5372,189,2876,102,104,3,18,40,67,5,187,787
Starbucks - Capuccino,1190,2427,17,8727,82,184,43,20,43,76,48,44,0
Costco - Celery,3489,8991,207,2013,83,235,2,7,68,70,28,169,464
Orville Redenbacher - Butter Flavour,1532,4613,41,3129,16,142,1,9,12,42,1,136,336
Delish - Ground Coconut,1291,2902,82,1517,19,56,2,8,10,9,1,85,1170
Outtakes - Garden Salad with Turkey,130,150,2,100,1,27,1,2,1,12,2,3,0
Tesco Finest - Garlic Ciabatta,672,1454,28,1457,10,48,1,5,11,2,2,52,153
Tesco Finest - Iceberg Lettuce,507,725,21,446,7,52,2,2,6,22,1,27,132
Tesco Finest - Nut Granola,463,813,18,593,5,58,1,5,7,13,1,16,30
Tesco - Whole Foods Medjool Dates,2568,1147,104,7455,45,234,3,18,46,15,7,186,530
Tesco - Whole Foods Mixed Nuts,3660,5144,188,4365,78,278,2,20,52,68,6,219,692
Zdelete - Bird's Eye Frozen,2354,1509,124,3004,47,40,4,8,53,11,9,217,720
the Laughing Cow - Light - In Grams,4081,2056,168,1630,45,616,44,33,36,287,24,50,0
Sunny Meadow - Medium Eggs Grade A,738,1284,35,616,6,69,4,16,12,7,1,31,0
Sunny Meadow - Reduced Fat & Salt Spread,2830,9689,94,533,28,324,3,26,4,85,20,167,471
Blue Bunny - Mini-cones,761,1190,37,3286,15,51,1,13,11,15,2,57,178
